NL Sentence
"In frame 6 of sequence 'adl-01', the person is normal. The body height to width ratio is 6.32, major to minor axis ratio is 8.22, bounding box occupancy is 0.49, spread on XZ axes is 140.77, height-to-standing ratio is 0.96, body height is 1761.2 mm, distance from floor is 927.3 mm, and floor contact ratio is 0.0261."
"In frame 229 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.00, major to minor axis ratio is 1.06, bounding box occupancy is 0.61, spread on XZ axes is 178.36, height-to-standing ratio is 0.63, body height is 1166.0 mm, distance from floor is 724.3 mm, and floor contact ratio is 0.0000."
"In frame 230 of sequence 'adl-18', the person is normal. The body height to width ratio is 0.99, major to minor axis ratio is 1.04, bounding box occupancy is 0.61, spread on XZ axes is 176.80, height-to-standing ratio is 0.63, body height is 1164.8 mm, distance from floor is 723.7 mm, and floor contact ratio is 0.0000."
"In frame 231 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.06, major to minor axis ratio is 1.03, bounding box occupancy is 0.59, spread on XZ axes is 175.53, height-to-standing ratio is 0.64, body height is 1183.2 mm, distance from floor is 724.7 mm, and floor contact ratio is 0.0000."
"In frame 232 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.02, major to minor axis ratio is 1.04, bounding box occupancy is 0.61, spread on XZ axes is 174.32, height-to-standing ratio is 0.63, body height is 1166.7 mm, distance from floor is 721.7 mm, and floor contact ratio is 0.0000."
"In frame 233 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.05, major to minor axis ratio is 1.02, bounding box occupancy is 0.61, spread on XZ axes is 170.76, height-to-standing ratio is 0.64, body height is 1180.7 mm, distance from floor is 721.8 mm, and floor contact ratio is 0.0000."
"In frame 234 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.06, major to minor axis ratio is 1.02, bounding box occupancy is 0.60, spread on XZ axes is 173.54, height-to-standing ratio is 0.65, body height is 1188.3 mm, distance from floor is 721.1 mm, and floor contact ratio is 0.0000."
"In frame 235 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.05, major to minor axis ratio is 1.02, bounding box occupancy is 0.60, spread on XZ axes is 177.61, height-to-standing ratio is 0.64, body height is 1180.8 mm, distance from floor is 719.4 mm, and floor contact ratio is 0.0000."
"In frame 236 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.05, major to minor axis ratio is 1.02, bounding box occupancy is 0.59, spread on XZ axes is 184.24, height-to-standing ratio is 0.64, body height is 1183.9 mm, distance from floor is 717.0 mm, and floor contact ratio is 0.0000."
"In frame 237 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.10, major to minor axis ratio is 1.03, bounding box occupancy is 0.56, spread on XZ axes is 188.76, height-to-standing ratio is 0.64, body height is 1172.4 mm, distance from floor is 713.8 mm, and floor contact ratio is 0.0000."
"In frame 238 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.02, major to minor axis ratio is 1.03, bounding box occupancy is 0.59, spread on XZ axes is 195.19, height-to-standing ratio is 0.63, body height is 1165.3 mm, distance from floor is 711.0 mm, and floor contact ratio is 0.0000."
"In frame 239 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.02, major to minor axis ratio is 1.02, bounding box occupancy is 0.59, spread on XZ axes is 197.60, height-to-standing ratio is 0.63, body height is 1163.3 mm, distance from floor is 710.9 mm, and floor contact ratio is 0.0000."
"In frame 240 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.01, major to minor axis ratio is 1.01, bounding box occupancy is 0.59, spread on XZ axes is 202.56, height-to-standing ratio is 0.62, body height is 1148.9 mm, distance from floor is 707.9 mm, and floor contact ratio is 0.0000."
"In frame 241 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.02, major to minor axis ratio is 1.02, bounding box occupancy is 0.58, spread on XZ axes is 208.18, height-to-standing ratio is 0.63, body height is 1159.2 mm, distance from floor is 704.2 mm, and floor contact ratio is 0.0000."
"In frame 242 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.00, major to minor axis ratio is 1.03, bounding box occupancy is 0.59, spread on XZ axes is 213.95, height-to-standing ratio is 0.62, body height is 1149.2 mm, distance from floor is 702.6 mm, and floor contact ratio is 0.0000."
"In frame 243 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.02, major to minor axis ratio is 1.02, bounding box occupancy is 0.58, spread on XZ axes is 218.70, height-to-standing ratio is 0.62, body height is 1149.4 mm, distance from floor is 701.1 mm, and floor contact ratio is 0.0000."
"In frame 244 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.01, major to minor axis ratio is 1.04, bounding box occupancy is 0.57, spread on XZ axes is 221.19, height-to-standing ratio is 0.62, body height is 1136.3 mm, distance from floor is 697.4 mm, and floor contact ratio is 0.0000."
"In frame 245 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.00, major to minor axis ratio is 1.02, bounding box occupancy is 0.55, spread on XZ axes is 226.91, height-to-standing ratio is 0.62, body height is 1143.0 mm, distance from floor is 694.4 mm, and floor contact ratio is 0.0000."
"In frame 246 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.03, major to minor axis ratio is 1.02, bounding box occupancy is 0.56, spread on XZ axes is 230.31, height-to-standing ratio is 0.62, body height is 1136.7 mm, distance from floor is 693.7 mm, and floor contact ratio is 0.0000."
"In frame 247 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.03, major to minor axis ratio is 1.01, bounding box occupancy is 0.56, spread on XZ axes is 238.20, height-to-standing ratio is 0.61, body height is 1127.7 mm, distance from floor is 690.4 mm, and floor contact ratio is 0.0000."
"In frame 248 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.01, major to minor axis ratio is 1.02, bounding box occupancy is 0.55, spread on XZ axes is 239.81, height-to-standing ratio is 0.61, body height is 1120.4 mm, distance from floor is 686.6 mm, and floor contact ratio is 0.0000."
"In frame 249 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.00, major to minor axis ratio is 1.03, bounding box occupancy is 0.56, spread on XZ axes is 243.91, height-to-standing ratio is 0.60, body height is 1109.2 mm, distance from floor is 681.7 mm, and floor contact ratio is 0.0000."
"In frame 250 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.03, major to minor axis ratio is 1.01, bounding box occupancy is 0.56, spread on XZ axes is 246.31, height-to-standing ratio is 0.60, body height is 1108.9 mm, distance from floor is 681.3 mm, and floor contact ratio is 0.0000."
"In frame 251 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.01, major to minor axis ratio is 1.01, bounding box occupancy is 0.55, spread on XZ axes is 251.14, height-to-standing ratio is 0.60, body height is 1112.3 mm, distance from floor is 680.6 mm, and floor contact ratio is 0.0000."
"In frame 252 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.01, major to minor axis ratio is 1.01, bounding box occupancy is 0.54, spread on XZ axes is 252.93, height-to-standing ratio is 0.60, body height is 1109.3 mm, distance from floor is 679.5 mm, and floor contact ratio is 0.0000."
"In frame 253 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.00, major to minor axis ratio is 1.01, bounding box occupancy is 0.54, spread on XZ axes is 253.36, height-to-standing ratio is 0.60, body height is 1111.9 mm, distance from floor is 679.3 mm, and floor contact ratio is 0.0000."
"In frame 254 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.03, major to minor axis ratio is 1.02, bounding box occupancy is 0.53, spread on XZ axes is 250.77, height-to-standing ratio is 0.61, body height is 1118.6 mm, distance from floor is 681.3 mm, and floor contact ratio is 0.0000."
"In frame 255 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.00, major to minor axis ratio is 1.01, bounding box occupancy is 0.55, spread on XZ axes is 254.26, height-to-standing ratio is 0.61, body height is 1114.6 mm, distance from floor is 681.0 mm, and floor contact ratio is 0.0000."
"In frame 256 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.06, major to minor axis ratio is 1.01, bounding box occupancy is 0.53, spread on XZ axes is 256.64, height-to-standing ratio is 0.60, body height is 1112.2 mm, distance from floor is 680.3 mm, and floor contact ratio is 0.0000."
"In frame 257 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.06, major to minor axis ratio is 1.01, bounding box occupancy is 0.53, spread on XZ axes is 254.09, height-to-standing ratio is 0.61, body height is 1118.1 mm, distance from floor is 680.7 mm, and floor contact ratio is 0.0000."
"In frame 258 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.00, major to minor axis ratio is 1.02, bounding box occupancy is 0.53, spread on XZ axes is 253.85, height-to-standing ratio is 0.60, body height is 1111.3 mm, distance from floor is 679.2 mm, and floor contact ratio is 0.0000."
"In frame 259 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.03, major to minor axis ratio is 1.01, bounding box occupancy is 0.53, spread on XZ axes is 252.87, height-to-standing ratio is 0.60, body height is 1111.9 mm, distance from floor is 678.9 mm, and floor contact ratio is 0.0000."
"In frame 260 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.06, major to minor axis ratio is 1.01, bounding box occupancy is 0.51, spread on XZ axes is 254.08, height-to-standing ratio is 0.61, body height is 1115.5 mm, distance from floor is 679.0 mm, and floor contact ratio is 0.0000."
"In frame 261 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.05, major to minor axis ratio is 1.02, bounding box occupancy is 0.52, spread on XZ axes is 256.25, height-to-standing ratio is 0.60, body height is 1111.3 mm, distance from floor is 678.0 mm, and floor contact ratio is 0.0000."
"In frame 262 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.02, major to minor axis ratio is 1.00, bounding box occupancy is 0.53, spread on XZ axes is 254.92, height-to-standing ratio is 0.61, body height is 1118.6 mm, distance from floor is 679.3 mm, and floor contact ratio is 0.0000."
"In frame 263 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.01, major to minor axis ratio is 1.01, bounding box occupancy is 0.54, spread on XZ axes is 254.63, height-to-standing ratio is 0.61, body height is 1118.6 mm, distance from floor is 679.6 mm, and floor contact ratio is 0.0000."
"In frame 264 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.01, major to minor axis ratio is 1.01, bounding box occupancy is 0.54, spread on XZ axes is 253.68, height-to-standing ratio is 0.61, body height is 1115.5 mm, distance from floor is 679.7 mm, and floor contact ratio is 0.0000."
"In frame 265 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.03, major to minor axis ratio is 1.02, bounding box occupancy is 0.52, spread on XZ axes is 254.87, height-to-standing ratio is 0.60, body height is 1109.3 mm, distance from floor is 677.5 mm, and floor contact ratio is 0.0000."
"In frame 23 of sequence 'adl-19', the person is normal. The body height to width ratio is 5.04, major to minor axis ratio is 5.73, bounding box occupancy is 0.64, spread on XZ axes is 104.71, height-to-standing ratio is 0.98, body height is 1798.4 mm, distance from floor is 1168.7 mm, and floor contact ratio is 0.0000."
"In frame 24 of sequence 'adl-19', the person is normal. The body height to width ratio is 3.69, major to minor axis ratio is 4.75, bounding box occupancy is 0.58, spread on XZ axes is 101.93, height-to-standing ratio is 0.99, body height is 1815.2 mm, distance from floor is 1178.6 mm, and floor contact ratio is 0.0000."
"In frame 25 of sequence 'adl-19', the person is normal. The body height to width ratio is 3.56, major to minor axis ratio is 4.06, bounding box occupancy is 0.71, spread on XZ axes is 106.85, height-to-standing ratio is 0.96, body height is 1773.5 mm, distance from floor is 1181.8 mm, and floor contact ratio is 0.0000."
